qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,stitle,staxids,sscinames,sphylums
contig_134,MDH3005006.1,26.3,898,479,45,1845,4254,21,823,1.33e-6,68.2,MDH3005006.1 hypothetical protein [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_136,YP_010530066.1,26,1176,638,53,7513,4307,1295,2337,1.87e-14,97.1,YP_010530066.1 RNA polymerase b''-subunit [Ulva tepida],1451047,Ulva tepida,Chlorophyta
contig_137,XP_046549186.1,36.6,459,268,10,730,2063,15,461,1.58e-71,259,XP_046549186.1 tigger transposable element-derived protein 6-like [Haliotis rubra],36100,Haliotis rubra,Mollusca
contig_138,AQX44070.1,27.7,578,335,23,4377,2772,50,582,3.58e-8,72.4,AQX44070.1 DNA-directed RNA polymerase subunit B [Plasmodium ovale wallikeri],864142,Plasmodium ovale wallikeri,Apicomplexa
contig_139,XP_029635052.1,49,253,127,1,155660,156418,18,268,3.1e-72,260,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_14,GES82402.1,28.7,321,215,6,3189,4119,30,342,2.56e-25,123,GES82402.1 IS630 family transposase [Rhizophagus clarus],94130,Rhizophagus clarus,Mucoromycota
contig_140,QHD45061.1,24.6,853,487,37,1297,3611,969,1737,7.06e-5,62,QHD45061.1 DNA-directed RNA polymerase subunit beta [Ulva pertusa],3120,Ulva pertusa,Chlorophyta
contig_141,XP_021916826.1,35,509,308,10,24953,26436,3,497,2.42e-74,272,XP_021916826.1 tigger transposable element-derived protein 6-like [Zootermopsis nevadensis],136037,Zootermopsis nevadensis,Arthropoda
contig_145,TBU03337.1,33.2,977,576,21,3068,224,201,1120,4.9999999999999996e-129,451,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_146,TBU03337.1,32.9,1042,649,20,8400,11468,110,1120,1.8999999999999997e-163,554,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_148,YP_010530156.1,25.6,1512,851,62,11636,15783,582,1935,1.7e-18,110,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_149,TBU03337.1,31.6,1053,662,22,2403,5495,109,1125,5.269999999999999e-156,524,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_15,UOF82001.1,57.4,305,126,1,8936,8022,4,304,1.1300000000000001e-105,353,UOF82001.1 major capsid protein [Caudoviricetes sp.],2832643,2832643,0
contig_150,XP_008302761.1,32.8,478,292,11,10529,9153,8,467,8.75e-44,183,XP_008302761.1 PREDICTED: tigger transposable element-derived protein 6-like [Stegastes partitus],144197,Stegastes partitus,Chordata
contig_151,YP_010530156.1,27.8,611,334,24,5830,4209,1014,1578,4.33e-7,70.1,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_152,YP_010530156.1,25.2,1230,678,49,3332,74,750,1868,1.46e-7,70.1,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_153,XP_001713418.1,23.8,1279,729,52,3643,7125,434,1570,3.34e-8,74.7,XP_001713418.1 hypothetical protein GTHECHR3083 [Guillardia theta],55529,Guillardia theta,0
contig_154,KAI5150356.1,34.9,499,306,8,53229,54697,3,486,2.41e-64,243,KAI5150356.1 hypothetical protein ENBRE01_1449 [Enteropsectra breve],1912989,Enteropsectra breve,Microsporidia
contig_155,YP_010530156.1,25.3,1888,993,86,8860,3813,520,2178,1.67e-11,86.3,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_157,CAH8495444.1,36.3,515,224,6,17407,18940,68,479,2.34e-78,301,CAH8495444.1 unnamed protein product [Schistosoma turkestanicum],1163369,Schistosoma turkestanicum,Platyhelminthes
contig_159,TBU03337.1,35.1,967,571,16,5300,2436,199,1120,2.89e-172,579,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_16,CAJ0546450.1,91.1,313,0,1,485,1419,1,285,2.3399999999999997e-184,550,"CAJ0546450.1 Ff.00g115130.m01.CDS01, partial [Fusarium sp. VM40]",3049762,3049762,0
contig_160,XP_043925694.1,30.3,353,230,6,41,1066,182,529,2.18e-38,172,XP_043925694.1 dynein axonemal heavy chain 10 [Protopterus annectens],7888,Protopterus annectens,Chordata
contig_161,KAG5329872.1,36.7,343,133,4,19025,20051,28,286,6.379999999999999e-52,204,"KAG5329872.1 FEN1 endonuclease, partial [Acromyrmex charruanus]",2715315,Acromyrmex charruanus,Arthropoda
contig_162,XP_050041013.1,30.4,741,318,14,78529,80707,18,572,5.57e-83,302,XP_050041013.1 mRNA-capping enzyme-like [Dermacentor andersoni],34620,Dermacentor andersoni,Arthropoda
contig_163,UJR09483.1,30.3,492,203,9,11176,12637,47,402,1.2699999999999997e-55,220,UJR09483.1 hypothetical protein I4U23_013721 [Adineta vaga],104782,Adineta vaga,Rotifera
contig_164,CAF0988202.1,34.7,510,298,9,16419,14948,17,509,1.11e-73,271,CAF0988202.1 unnamed protein product [Brachionus calyciflorus],104777,Brachionus calyciflorus,Rotifera
contig_165,XP_022306563.1,41.3,1231,490,19,126639,130304,74,1073,1.4e-265,850,XP_022306563.1 DNA polymerase delta catalytic subunit-like [Crassostrea virginica],6565,Crassostrea virginica,Mollusca
contig_166,CAI6376720.1,43.1,369,192,6,30057,28968,27,382,4.65e-78,280,CAI6376720.1 unnamed protein product [Macrosiphum euphorbiae],13131,Macrosiphum euphorbiae,Arthropoda
contig_167,CAG9802839.1,62,1138,289,14,14085,10801,277,1310,0,1311,CAG9802839.1 unnamed protein product [Chironomus riparius],315576,Chironomus riparius,Arthropoda
contig_168,KDN37053.1,43.3,531,226,10,28672,30235,128,590,1.63e-104,363,"KDN37053.1 hypothetical protein RSAG8_10406, partial [Rhizoctonia solani AG-8 WAC10335]",1287689,Rhizoctonia solani AG-8 WAC10335,Basidiomycota
contig_169,OAF66659.1,52.7,273,106,2,32590,33408,84,333,1.8599999999999999e-81,287,OAF66659.1 hypothetical protein A3Q56_05621 [Intoshia linei],1819745,Intoshia linei,Orthonectida
contig_17,YP_007517840.1,82.8,790,131,3,5,2367,45,830,0,1321,YP_007517840.1 tail protein [Pelagibacter phage HTVC019P],1283079,Pelagibacter phage HTVC019P,Uroviricota
contig_170,CAG9563419.1,34.2,520,296,13,32166,30698,8,506,3.8300000000000003e-63,239,CAG9563419.1 unnamed protein product [Danaus chrysippus],151541,Danaus chrysippus,Arthropoda
contig_171,XP_029635052.1,44,268,146,1,6728,7527,5,268,6.17e-65,236,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_172,XP_023725344.1,21.9,1407,846,40,14518,18532,200,1413,8.59e-37,169,XP_023725344.1 cleavage and polyadenylation specificity factor subunit 1 isoform X2 [Cryptotermes secundus],105785,Cryptotermes secundus,Arthropoda
contig_173,YP_010530156.1,25.3,1388,777,63,5639,1880,887,2134,1.45e-13,91.3,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_174,WP_259285990.1,23.3,464,292,13,1062,2372,28,450,1.81e-4,60.5,WP_259285990.1 GTPase [Candidatus Nasuia deltocephalinicola],1160784,Candidatus Nasuia deltocephalinicola,Proteobacteria
contig_175,XP_022245939.1,47.8,228,100,3,38902,39585,493,701,1.05e-52,214,"XP_022245939.1 atypical kinase COQ8B, mitochondrial-like isoform X1 [Limulus polyphemus]",6850,Limulus polyphemus,Arthropoda
contig_176,XP_011456445.1,53.5,516,216,4,29685,31226,55,548,1.9499999999999998e-163,532,XP_011456445.1 heat shock protein 60A [Crassostrea gigas],29159,Crassostrea gigas,Mollusca
contig_177,KAI1237122.1,26.9,510,162,9,4141,5503,346,699,2.42e-41,182,KAI1237122.1 hypothetical protein IHE44_0014377 [Lamprotornis superbus],245042,Lamprotornis superbus,Chordata
contig_178,XP_014662536.1,35.4,364,218,5,17917,18975,36,391,1.71e-58,228,XP_014662536.1 PREDICTED: tigger transposable element-derived protein 6-like [Priapulus caudatus],37621,Priapulus caudatus,Priapulida
contig_179,4J75_A,31.9,455,210,4,12929,11613,22,392,4.77e-59,224,"4J75_A Crystal Structure of a parasite tRNA synthetase, product-bound [Plasmodium falciparum 3D7]",36329,Plasmodium falciparum 3D7,Apicomplexa
contig_18,RUS91788.1,31.4,507,324,4,4669,3220,5,510,4.39e-68,255,RUS91788.1 hypothetical protein EGW08_000496 [Elysia chlorotica],188477,Elysia chlorotica,Mollusca
contig_181,KAF7685601.1,33.6,280,182,1,5971,5140,1,276,1.24e-30,138,KAF7685601.1 hypothetical protein CDIK_3650 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_182,KAG0433983.1,36.6,435,257,8,15700,16976,30,447,1.06e-59,228,KAG0433983.1 CGG triplet repeat-binding protein 1 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_183,SCQ17353.1,28.8,528,250,25,8019,6638,6,473,6.08e-7,69.7,"SCQ17353.1 DNA-directed RNA polymerase subunit beta, putative, partial [Plasmodium ovale]",36330,Plasmodium ovale,Apicomplexa
contig_184,CAI9715464.1,24.1,1181,822,16,26570,23077,44,1165,7.33e-95,354,CAI9715464.1 DNA repair protein RAD50-like isoform X1 [Octopus vulgaris],6645,Octopus vulgaris,Mollusca
contig_185,CAG8485154.1,57.4,373,150,4,53667,54781,8,371,1.41e-128,425,CAG8485154.1 10721_t:CDS:2 [Paraglomus brasilianum],144538,Paraglomus brasilianum,Mucoromycota
contig_186,YP_010530066.1,23.4,1191,716,45,4070,7364,1156,2234,5.93e-5,63.9,YP_010530066.1 RNA polymerase b''-subunit [Ulva tepida],1451047,Ulva tepida,Chlorophyta
contig_187,XP_009030591.1,27.3,974,424,20,52519,49937,27,823,1.39e-84,322,XP_009030591.1 hypothetical protein HELRODRAFT_189813 [Helobdella robusta],6412,Helobdella robusta,Annelida
contig_188,XP_033755738.1,30.9,514,332,8,24358,22882,5,514,5.44e-62,237,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_189,XP_014662536.1,34.5,365,221,5,1588,531,36,391,1.15e-47,195,XP_014662536.1 PREDICTED: tigger transposable element-derived protein 6-like [Priapulus caudatus],37621,Priapulus caudatus,Priapulida
contig_19,CAG9828260.1,38.7,462,215,14,14419,13091,780,1192,7.64e-69,272,CAG9828260.1 unnamed protein product [Diabrotica balteata],107213,Diabrotica balteata,Arthropoda
contig_191,XP_029635052.1,42,295,166,2,16228,17104,2,291,1.3999999999999998e-60,224,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_192,YP_010530156.1,26.9,1627,800,86,32581,28322,518,1942,2.92e-5,66.2,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_193,XP_025226014.1,36.5,488,248,12,103220,104671,29,456,5.26e-67,261,XP_025226014.1 LOW QUALITY PROTEIN: nucleolar GTP-binding protein 2 [Theropithecus gelada],9565,Theropithecus gelada,Chordata
contig_194,BAA81704.1,45.9,207,110,1,8741,9354,91,296,3.57e-54,206,"BAA81704.1 G protein a subunit 8, partial [Ephydatia fluviatilis]",31330,Ephydatia fluviatilis,Porifera
contig_195,XP_033755738.1,33.5,496,306,7,18040,19462,5,495,2.8200000000000002e-73,270,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_197,YP_009220456.1,24.3,1331,743,58,3948,329,1113,2285,1.27e-4,61.2,YP_009220456.1 DNA-directed RNA polymerase subunit beta [Ulva fasciata],111617,Ulva fasciata,Chlorophyta
contig_198,YP_010530156.1,25.3,1750,936,76,11080,15704,496,2064,1.36e-10,83.2,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_199,WP_176604888.1,28.2,238,141,8,4722,4070,170,392,5.51e-4,57.8,WP_176604888.1 hypothetical protein [Candidatus Azoamicus ciliaticola],2652803,Candidatus Azoamicus ciliaticola,Proteobacteria
contig_2,KAF7685763.1,40.7,327,187,2,9193,10159,6,325,1.2399999999999998e-55,211,KAF7685763.1 hypothetical protein CDIK_3488 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_200,KAG5666917.1,49.5,95,48,0,28845,28561,302,396,5.44e-16,99.4,KAG5666917.1 hypothetical protein PVAND_014923 [Polypedilum vanderplanki],319348,Polypedilum vanderplanki,Arthropoda
contig_201,XP_043221297.1,50.5,109,54,0,3807,4133,159,267,2.3100000000000003e-21,118,XP_043221297.1 transcription factor IIIB 90 kDa subunit-like [Amphibalanus amphitrite],1232801,Amphibalanus amphitrite,Arthropoda
contig_203,CAE1162205.1,29,252,119,8,4633,3931,15,221,7.24e-5,61.6,CAE1162205.1 TSC1 [Sepia pharaonis],158019,Sepia pharaonis,Mollusca
contig_204,KAG0433983.1,30.4,335,212,7,2897,1925,30,347,2.9599999999999997e-24,121,KAG0433983.1 CGG triplet repeat-binding protein 1 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_206,KAJ3027973.1,29.3,225,95,2,4402,3730,1,161,3.17e-17,97.8,KAJ3027973.1 hypothetical protein HDU68_002721 [Siphonaria sp. JEL0065],2723227,Siphonaria sp. JEL0065,Mollusca
contig_207,CAD8052746.1,29.5,1335,749,43,44641,40873,170,1386,1.9599999999999997e-106,391,CAD8052746.1 unnamed protein product [Paramecium primaurelia],5886,Paramecium primaurelia,Ciliophora
contig_208,XP_033755738.1,30.4,529,351,5,49,1591,5,526,5.92e-62,236,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_209,XP_046549186.1,35.5,465,280,8,9807,11151,15,471,5.36e-63,238,XP_046549186.1 tigger transposable element-derived protein 6-like [Haliotis rubra],36100,Haliotis rubra,Mollusca
contig_21,KAG0442155.1,33,466,276,10,5446,4117,4,451,1.82e-47,192,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_210,XP_029635052.1,47.6,269,139,1,2445,3251,4,270,1.67e-77,272,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_214,QUB02984.1,24.2,1910,1087,75,18756,13585,520,2232,2.36e-7,72.4,QUB02984.1 RNA polymerase beta'' subunit [Ulva sp.],3117;2812607,Ulva prolifera0Ulva sp.,Chlorophyta
contig_215,EXX53800.1,31.2,548,326,18,1648,107,18,542,7.23e-56,219,EXX53800.1 Pdc2p [Rhizophagus irregularis DAOM 197198w],747089;1432141,Rhizophagus irregularis DAOM 181602=DAOM 1971980Rhizophagus irregularis DAOM 197198w,Mucoromycota
contig_216,KAI5152479.1,33.3,504,316,7,55397,53930,4,495,2.1099999999999998e-60,232,KAI5152479.1 hypothetical protein ENBRE01_2860 [Enteropsectra breve],1912989,Enteropsectra breve,Microsporidia
contig_217,XP_041347231.1,39.8,382,215,6,8693,9811,30,405,3.6199999999999996e-68,256,XP_041347231.1 tigger transposable element-derived protein 4-like [Gigantopelta aegis],1735272,Gigantopelta aegis,Mollusca
contig_219,UFQ87295.1,26.6,583,329,24,632,2196,884,1425,6.04e-8,71.6,UFQ87295.1 RNA polymerase beta subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_22,WGH24690.1,27.6,555,300,22,889,2350,123,634,6.44e-4,59.3,WGH24690.1 MAG: hypothetical protein NHF92_00375 [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_220,KAG0442155.1,31.6,491,303,11,51,1469,31,502,6.859999999999999e-56,218,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_223,XP_052071173.1,43,374,192,7,5498,6580,31,392,9.82e-71,257,XP_052071173.1 tigger transposable element-derived protein 4-like [Mytilus californianus],6549,Mytilus californianus,Mollusca
contig_224,WGH24606.1,28.9,342,198,13,22495,23425,15,338,3.09e-4,60.8,WGH24606.1 MAG: hypothetical protein NHF92_00995 [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_225,QXI88256.1,25.7,1004,529,47,4293,1574,1112,1984,8.09e-4,59.3,QXI88256.1 RNA polymerase b''-subunit [Ulva intestinalis],3116,Ulva intestinalis,Chlorophyta
contig_226,UFQ87295.1,24.7,1856,1001,91,11093,6103,534,2167,1.66e-6,69.7,UFQ87295.1 RNA polymerase beta subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_227,MDH3005006.1,27.8,915,515,38,14641,12090,3,826,8.47e-10,80.1,MDH3005006.1 hypothetical protein [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_228,QUB02984.1,25.9,2089,1143,92,2771,8371,559,2443,4.62e-14,94.4,QUB02984.1 RNA polymerase beta'' subunit [Ulva sp.],3117;2812607,Ulva prolifera0Ulva sp.,Chlorophyta
contig_229,XP_014662536.1,34.4,366,222,5,3687,2629,35,391,1.0099999999999999e-45,189,XP_014662536.1 PREDICTED: tigger transposable element-derived protein 6-like [Priapulus caudatus],37621,Priapulus caudatus,Priapulida
contig_23,XP_033755738.1,34.7,481,296,7,62246,60854,5,483,9.74e-79,287,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_230,XP_033755738.1,34.4,378,220,3,128,1183,1,372,1.9099999999999998e-47,192,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_231,QUB02984.1,24.8,2058,1131,87,15037,9408,528,2329,8.72e-11,84,QUB02984.1 RNA polymerase beta'' subunit [Ulva sp.],3117;2812607,Ulva prolifera0Ulva sp.,Chlorophyta
contig_232,KAF3488418.1,47.6,580,244,8,18372,16677,13,542,4.79e-125,425,KAF3488418.1 hypothetical protein F2Q69_00054886 [Brassica cretica],69181,Brassica cretica,Streptophyta
contig_233,EPZ31598.1,48.2,164,80,3,18158,17679,4,166,1.4299999999999998e-37,160,EPZ31598.1 W2 domain-containing protein [Rozella allomycis CSF55],988480,Rozella allomycis CSF55,Cryptomycota
contig_234,XP_011504783.1,30.6,988,491,25,5970,3186,326,1175,5.9e-115,411,"XP_011504783.1 PREDICTED: DNA-directed RNA polymerase, mitochondrial [Ceratosolen solmsi marchali]",326594,Ceratosolen solmsi marchali,Arthropoda
contig_235,XP_014665399.1,32.3,443,246,9,38594,37285,1874,2265,1.22e-44,196,XP_014665399.1 PREDICTED: CCR4-NOT transcription complex subunit 1-like [Priapulus caudatus],37621,Priapulus caudatus,Priapulida
contig_236,KAF7685601.1,31.2,324,204,3,14896,13978,4,323,2.5599999999999997e-31,142,KAF7685601.1 hypothetical protein CDIK_3650 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_237,KAE9552200.1,44.8,223,107,2,38156,37488,38,244,1.1399999999999998e-43,193,KAE9552200.1 hypothetical protein FO519_004581 [Halicephalobus sp. NKZ332],2598192,Halicephalobus sp. NKZ332,Nematoda
contig_238,CAF1383055.1,28.2,1307,660,28,20595,24334,139,1225,9.509999999999999e-125,442,CAF1383055.1 unnamed protein product [Adineta steineri],433720,Adineta steineri,Rotifera
contig_239,CAF0842461.1,30.8,1692,927,42,29589,34426,221,1746,2.91e-201,716,CAF0842461.1 unnamed protein product [Brachionus calyciflorus],104777,Brachionus calyciflorus,Rotifera
contig_240,XP_017465466.1,32,441,232,7,6065,7377,428,802,5.1700000000000003e-51,217,XP_017465466.1 PREDICTED: dnaJ homolog subfamily C member 13-like [Rhagoletis zephyria],28612,Rhagoletis zephyria,Arthropoda
contig_241,YP_010020682.1,26.3,445,260,18,17268,16027,1442,1847,6.65e-5,65.5,YP_010020682.1 DNA-directed RNA polymerase subunit beta [Ulva rigida],75689,Ulva rigida,Chlorophyta
contig_242,BAL70586.1,28.9,387,209,15,9903,8891,72,438,8.25e-6,65.9,BAL70586.1 DNA-directed RNA polymerase C subunit [Plasmodium malariae],5858,Plasmodium malariae,Apicomplexa
contig_243,WGH24690.1,25.3,689,384,24,1848,9,96,722,7.51e-7,69.3,WGH24690.1 MAG: hypothetical protein NHF92_00375 [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_244,UIC71726.1,27.4,602,318,30,2317,668,289,815,2.21e-6,65.9,UIC71726.1 protein of unknown function Ycf2 [Rhopalocnemis phalloides],1128106,Rhopalocnemis phalloides,Streptophyta
contig_245,CAD7628154.1,31.5,594,277,13,9230,7496,207,683,9.56e-58,228,CAD7628154.1 unnamed protein product [Medioppia subpectinata],1979941,Medioppia subpectinata,Arthropoda
contig_246,XP_003287529.1,39,100,51,1,17554,17823,116,215,1.4e-9,79.3,XP_003287529.1 hypothetical protein DICPUDRAFT_32597 [Dictyostelium purpureum],5786,Dictyostelium purpureum,Evosea
contig_247,YP_010530156.1,25.6,1422,763,70,3432,7186,628,1909,1.27e-7,72.8,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_248,XP_029635052.1,46.7,270,141,1,49942,50747,4,270,9e-74,263,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_249,XP_014675036.1,58.3,1350,381,15,26363,30350,581,1764,0,1486,XP_014675036.1 PREDICTED: DNA-directed RNA polymerase II subunit RPB2 [Priapulus caudatus],37621,Priapulus caudatus,Priapulida
contig_251,CAI6376720.1,43.1,369,192,6,1641,552,27,382,3.29e-78,279,CAI6376720.1 unnamed protein product [Macrosiphum euphorbiae],13131,Macrosiphum euphorbiae,Arthropoda
contig_252,WP_259286123.1,29.2,452,263,17,2418,1158,34,453,1.07e-4,60.1,WP_259286123.1 GTPase [Candidatus Nasuia deltocephalinicola],1160784,Candidatus Nasuia deltocephalinicola,Proteobacteria
contig_253,WGH24606.1,28.8,400,209,15,19675,18538,32,371,7.48e-8,72.8,WGH24606.1 MAG: hypothetical protein NHF92_00995 [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
